fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	neg_bagging_fraction	estimulos	ganancia	iteracion_bayesiana
20231127 181252	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	40	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0668671402966988	0.158069584508774	366	341	0.828476732748575	14291	154802740.129935	53
20231127 181757	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	323	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.27040624246851	0.0864888392013704	926	26615	0.0321326152950954	12406	150391743.128436	54
20231127 182451	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0817741323722479	0.514062020765892	37	13543	0.316054188572653	12487	147542624.187906	55
20231127 183309	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	708	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0605650292495	0.100546943935506	504	35998	0.830844768810634	12362	156619763.118441	56
20231127 183946	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.199270994784387	0.481163336483809	731	32173	0.0350408398033852	12520	148658030.984508	57
20231127 184251	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	108	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.10957509721546	0.0431957773745134	159	35208	0.870117448900531	12467	148336377.311344	58
20231127 184854	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.253747627112825	0.379257731939167	663	15259	0.115426865209501	11526	143081798.10095	59
20231127 191607	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1468	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0944026535964832	0.596885165526244	415	13066	0.323443720820182	14167	146329290.854573	60
20231127 192443	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	145	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.274071299828512	0.507201271065861	491	34503	0.1654905981087	11311	156350296.351824	61
20231127 193526	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	138	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.22838058181393	0.493459834137439	553	1811	0.572182365536394	11188	148907148.425787	62
20231127 194332	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	426	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.074983819105717	0.721745565745565	201	24653	0.282328199231104	11460	156728285.857071	63
20231127 194835	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	96	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.181622373694864	0.926498521014078	482	19637	0.322950402047176	9808	155730066.966517	64
20231127 195606	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	132	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.26976274465346	0.391890462037459	929	29740	0.486150314324714	12548	153491536.231884	65
20231127 200101	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	140	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.285533028729071	0.790222455977767	198	32225	0.786556476248302	12798	151850541.729135	66
20231127 201132	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	280	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.266057062961159	0.387777657306803	215	6098	0.43462456188143	10500	144071194.402799	67
20231127 201752	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.129529471205187	0.787037885887858	827	27955	0.294072979266914	11338	156519657.171414	68
20231127 202509	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	731	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0867586239233226	0.0214981882941148	804	478	0.121898667600328	11066	141599169.415292	69
20231127 202917	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	322	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.226314103507952	0.0359229276082732	884	11156	0.842671404677402	11610	149073868.065967	70
